344616533332467713	173701851	vyvanse-51b7c4c75378b9555a2f1ab8	Vyvanse, commonly known as OCD in a pill.
344630199217958912	385562257	vyvanse-51b7d1815378b9555a2f1b0c	@MTV When are you going to do True Life: I am addicted to Vyvanse?
342117282585133056	1110475417	cymbalta-51aead545378f924d02efd7c	@upasbook Great read as always. I was on Cymbalta for 5 days. Cold turkey had sweats, migraine, tremors while on & 3 days after.
342662725165543426	1338597000	quetiapine-51b0a9535378b9555a2ef4c1	People taking #quetiapine - does this need to sleep 24/7 go eventually? Cos this is not sustainable beyond the short term.
333697653349179393	479854353	ziprasidone-51900bc7ac6ab35b4d4836c6	@Verlieren THANK YOU! It didn't even fucking work. I went back to ziprasidone but now will never have another orgasm in my life.
344231834302939136	211797868	seroquel-51b65e8b5378b9555a2f1345	Only problem is I'm hungry. Seroquel nation hunger :(
351446999637299200	1061562434	seroquel-51d09e2a53785f584a9ae686	I wonder if seroquel /then/ food still equals restless legs
348262745730338817	97567146	rivaroxaban-51c5089353785f584a9a91e5	Rivaroxaban diary day 22. Last tablet taken Tuesday 18th, 4 days ago. Woken up in pain. Bad fluid retention (uneven) on both legs.
349644702485716992	50176221	paxil-51ca0f9f53785f584a9ac1a1	Every since I stopped taking that Paxil I haven't been so damn emotional ..... I think!
344983576493817856	466206030	cymbalta-51b91b005378b9555a2f22cd	Cymbalta, you're driving me insane.
333960519964819458	39386820	venlafaxine-51910097ac6ab35b4d484183	#TwoThingsThatDontMixWell venlafaxine and alcohol- you'll cry and throw chairs at your mom's BBQ.
342031084290203649	499413469	effexor-51ae5cef5378f924d02efa4a	@johncheese I hated effexor. It makes you hungry, dizzy, and lethargic. That culminated in a large weight gain for me.
326665428493557760	23315993	quetiapine-51767682ac6a202953c770ad	@pseudodeviant i clock in at 16 stone (added 1 stone since quetiapine) and according to that BMI thing I'm obese, which I'm clearly not.
343743356163207169	378286503	vyvanse-51b497915378b9555a2f0b54	I really hate the fact that I feel like I need to throw up while at work. Maybe taking my vyvanse wasn't a good idea
344469944613875712	47189853	humira-51b73ce15378b9555a2f1755	@sapphire20 to it, and now I'm on Humira with just the bloat to battle. Things sometimes get super shitty in every sense. But stay strong xx
342452289723850753	326555108	vyvanse-51afe5765378b9555a2ef055	I think that Vyvanse is making me grind my teeth...
340307896074133504	918098096	nicotine-51a8183353787e40790dec88	Officially addicted to nicotine
351082980330045440	314910038	levaquin-51cf4b2053785f584a9ae001	Levaquin sucks. Blinding headaches. Vomiting. Diarrhea. Time for my next dose. Happy weekend. #tmi #FML
345655759767482369	1351058880	humira-51bb8ca55378b9555a2f305d	@sarahchoueiry @crohns_twins i also have nuasea and low grade temp and on #humira should i go check it out??
340331870745149440	456299787	nicotine-51a82e6053787e40790ded3f	Nicotine withdrawals #2DaysDown #ForeverToGo #headache #irritable #toomanyhashtags #makeitstop
345241637078847489	320440672	cipro-51ba0af35378b9555a2f2722	@ShipMom Cipro is awful makes me sick as a dog too
332241130353745920	69772809	trazodone-518abf49ac6a942006b3f03b	@DrOz i take Trazodone for my #insomina & still have a hard time falling asleep or I end up having crazy dreams that wake me up!?! #OzSleep
351133278692057088	1061562434	seroquel-51cf79f853785f584a9ae10b	although taking it now would run counter to my current "food + seroquel = RLS" philosophy
352869424174342144	41850242	cipro-51d5cae853785f584a9b0c36	SO GLAD to have just finished a course of cipro! Fingers crossed I can stay off of nausea inducing meds for the next little while...
342380499802681344	624198613	olanzapine-51afa24f5378b9555a2eeece	@SecretSchizo I tried coming off my olanzapine twice in the past 3 years without telling my psych - unfortunately too difficult to come off!
